,molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,norm_value,pIC50
840,CHEMBL1916891,Cc1ccccc1Nc1nc2cc(F)c(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,109.0,active,591.6419999999999,4.625520000000003,2.0,9.0,109.0,6.962573502059376
841,CHEMBL1916359,[O-][n+]1ccc2c(-c3ccc(F)cc3Cl)ccnc2c1-c1c(Cl)cccc1Cl,10000.0,inactive,579.6310000000002,4.483020000000004,2.0,9.0,10000.0,5.0
842,CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,105.9,active,565.6040000000002,4.092920000000004,2.0,9.0,105.9,6.975104039892515
843,CHEMBL941,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,234.0,active,551.5770000000001,3.633420000000001,2.0,9.0,234.0,6.6307841425898575
844,CHEMBL1923084,Cc1ccc(NC(=O)c2ccc(N)c(N)c2)cc1Nc1nccc(-c2cccnc2)n1,25000.0,inactive,574.6110000000001,4.908920000000005,1.0,8.0,25000.0,4.6020599913279625
846,CHEMBL20926,Cc1ccc(NC(=O)c2ccccc2)cc1Nc1nccc(-c2cccnc2)n1,12700.0,inactive,575.599,4.303920000000002,1.0,9.0,12700.0,4.896196279044043
847,CHEMBL1929238,CN(C)CCN1CCN(C(=O)c2cc(C(C)(C)C)sc2NC(=O)Nc2cccc(Cl)c2Cl)CCC1=O,30000.0,inactive,575.599,4.303920000000003,1.0,9.0,30000.0,4.522878745280337
848,CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,41000.0,inactive,547.541,6.079540000000005,2.0,6.0,41000.0,4.3872161432802645
849,CHEMBL1933576,CN1CCN(c2ccc(OC(F)(F)F)c(Nc3nccc(-c4cc(C(N)=O)cn4C)n3)c2)CC1,10000.0,inactive,346.4160000000001,1.4502999999999997,2.0,7.0,10000.0,5.0
850,CHEMBL1933582,CN1CCN(c2ccc(OC(F)(F)F)c(Nc3nccc(-c4cc5c(n4C)CCNC5=O)n3)c2)CC1,10000.0,inactive,475.55600000000015,5.645460000000004,2.0,7.0,10000.0,5.0
